#{"t_start": 1726758265.0335505, "env_id": "None"}
r,l,t
-1139.795912,200,15.131235
-1313.767741,200,23.166904
-997.194115,200,31.167992
-1546.495797,200,39.144406
-1249.255174,200,47.25744
-1289.724323,200,55.288889
-1229.612233,200,63.309988
-1097.287896,200,71.31652
-845.523547,200,79.346356
-1610.76633,200,88.74429
-867.558973,200,96.788277
-1182.332378,200,104.924695
-1242.699409,200,112.936252
-1206.705926,200,120.974411
-1643.722691,200,128.994672
-1117.882456,200,137.349344
-1413.881859,200,145.525031
-1263.22717,200,153.603338
-1443.786956,200,161.559317
-1282.083773,200,169.555875
-1243.376265,200,177.752404
-1402.149045,200,185.78823
-1536.873793,200,193.746034
-1003.377804,200,201.788901
-1519.931402,200,209.814118
-1554.3338,200,217.883567
-1309.04508,200,226.069156
-1537.110132,200,234.116848
-1226.15038,200,242.172126
-1062.017733,200,250.222227
-1304.255064,200,258.546054
-1248.939588,200,266.941649
-1503.36735,200,275.409873
-948.078411,200,283.436782
-1452.14166,200,291.466185
-1251.310894,200,299.469756
-1299.802868,200,307.423963
-1176.910111,200,315.669889
-1299.586417,200,323.715731
-1467.576703,200,331.721176
-1301.937287,200,339.776369
-1516.964702,200,347.810363
-1565.526102,200,355.808679
-1359.923595,200,363.943994
-1500.626938,200,371.981894
-1260.537268,200,379.97938
-1496.643477,200,388.082888
-1480.746607,200,396.519789
-1436.82487,200,404.738146
-1491.296208,200,412.786602
-1582.618467,200,420.868414
-1536.028994,200,428.862535
-1519.866378,200,436.957155
-1537.011546,200,444.949197
-1538.453413,200,453.074334
-1573.827122,200,460.971373
-1523.215507,200,469.047559
-1546.201733,200,477.190068
-1527.616579,200,485.336952
-1350.431615,200,493.211453
-1397.453895,200,501.316137
-1374.431223,200,509.180472
-1415.631375,200,517.090305
-1418.797964,200,524.944419
-1533.042324,200,532.85539
-1361.544396,200,540.912591
-1565.325426,200,548.873578
-1560.915687,200,556.810374
-1401.702558,200,564.779253
-1519.905114,200,572.788924
-1298.625993,200,580.730512
-1416.088798,200,588.823041
-1509.105495,200,596.820681
-1426.300302,200,604.709439
-1519.725491,200,612.579973
-1559.274754,200,620.572917
-1510.195278,200,628.585941
-1193.259814,200,636.720375
-1383.673272,200,644.718005
-1395.87793,200,652.695403
-1155.495445,200,660.617324
-1130.827259,200,668.561586
-1352.211315,200,676.669502
-1501.16622,200,684.671562
-1387.920698,200,692.621198
-1272.881517,200,700.468769
-1464.451482,200,708.440001
-1360.648446,200,716.417827
-1226.960779,200,724.459623
-1333.914495,200,732.433432
-1407.555701,200,740.461129
-1259.049298,200,748.413063
-1389.755945,200,756.586548
-1257.067804,200,764.999425
-1389.676821,200,773.443424
-1212.559482,200,781.815425
-1447.175668,200,790.193537
-1232.222797,200,798.671537
-1350.075777,200,807.134537
-1342.344659,200,815.824171
-1356.790424,200,824.195892
-1433.145476,200,832.490891
-1208.198757,200,840.830891
-1230.057,200,849.233246
-1629.601824,200,857.393123
-952.560112,200,865.794749
-1393.11251,200,874.140839
-1118.261298,200,882.307669
-1246.061056,200,890.460465
-1253.196643,200,898.712357
-1211.808947,200,907.13027
-1036.948392,200,915.470437
-1131.757225,200,923.724102
-1203.465956,200,931.918952
-1296.387567,200,940.243482
-1373.942641,200,948.431151
-1431.664226,200,956.817437
-1180.142129,200,964.917462
-1284.499851,200,973.110579
-1374.264907,200,981.242353
-1375.467094,200,989.432265
-1540.199627,200,997.682808
-999.88934,200,1006.042163
-1323.642675,200,1014.287661
-1520.529735,200,1022.431077
-1024.004434,200,1030.607743
-1175.55287,200,1039.122916
-999.461439,200,1047.541479
-1585.186748,200,1055.754964
-1110.384305,200,1064.011768
-1166.551525,200,1072.273783
-1318.473436,200,1080.485609
-1495.953829,200,1088.7458
-1116.498615,200,1097.242019
-1209.965068,200,1105.313933
-1278.616856,200,1113.451845
-1239.73597,200,1123.378232
-1089.600319,200,1131.689556
-1348.575244,200,1139.864925
-847.367994,200,1148.034006
-671.467755,200,1156.091448
-1337.620228,200,1164.087812
-990.744,200,1172.071089
-1447.201181,200,1180.007585
-1513.342063,200,1188.187324
-1062.272124,200,1196.165787
-1499.640398,200,1204.121484
-1190.688812,200,1212.094527
-762.822708,200,1220.096945
-752.129338,200,1228.132313
-1490.20434,200,1236.332402
-854.677976,200,1244.302958
-604.887023,200,1252.272868
-547.452742,200,1260.263273
-997.904196,200,1268.261019
-1179.429897,200,1276.415765
-775.774841,200,1284.411977
-879.130799,200,1292.371442
-414.948553,200,1300.365095
-794.613551,200,1308.36935
-1495.59517,200,1316.327909
-1043.525259,200,1324.413434
-1496.581943,200,1332.398635
-1265.531472,200,1340.413037
-1298.52587,200,1348.448526
-933.702083,200,1356.433313
-1169.522387,200,1364.405068
-1010.507323,200,1372.655682
-813.562266,200,1380.598669
-1115.251919,200,1388.567727
-595.993884,200,1396.567502
-1217.594465,200,1404.692951
-1494.674992,200,1412.989055
-771.300137,200,1421.298971
-1558.177808,200,1429.850501
-1223.63167,200,1437.762349
-1545.543876,200,1445.448254
-1435.455211,200,1453.665339
-401.223167,200,1461.687131
-1525.005295,200,1469.636253
-548.017609,200,1477.595387
-1482.990604,200,1485.696753
-878.752336,200,1493.755812
-980.179983,200,1502.063264
-1504.826241,200,1511.766313
-17.208968,200,1520.1086
-983.851633,200,1530.364224
-950.276528,200,1538.246749
-1218.645215,200,1546.398091
-1522.653333,200,1554.777448
-812.516563,200,1563.106278
-756.848096,200,1571.581737
-1491.088645,200,1580.027403
-934.938394,200,1589.0961
-1251.0438,200,1597.903331
-416.67067,200,1609.581921
-1032.316003,200,1618.134812
-897.528538,200,1626.774564
-1521.445343,200,1635.720563
-916.498108,200,1644.815836
-837.131055,200,1653.799206
-706.45679,200,1662.19456
-1523.81728,200,1670.61794
-649.935952,200,1678.967705
-817.61245,200,1687.166785
-1504.563044,200,1695.405253
-1179.673355,200,1703.743474
-848.441695,200,1712.02508
-953.496994,200,1720.339497
-1249.980588,200,1728.596705
-979.127108,200,1736.993264
-1079.775237,200,1745.3556
-1433.359621,200,1753.91413
-1226.119723,200,1762.258649
-1222.267006,200,1770.601452
-1496.827321,200,1779.000233
-1299.571346,200,1787.385222
-1349.756781,200,1795.890152
-1266.291072,200,1805.651303
-1066.692587,200,1814.115369
-1315.735404,200,1822.423421
-1173.94933,200,1830.778835
-1221.946568,200,1839.204765
-1253.422022,200,1847.776113
-836.76142,200,1856.09384
-1402.751096,200,1864.537833
-1186.705107,200,1873.006156
-1244.246975,200,1881.464124
-986.705388,200,1890.119118
-1080.880267,200,1898.618311
-715.801681,200,1907.060192
-1066.862547,200,1915.458589
-1093.543526,200,1923.985932
-1494.402665,200,1932.508711
-1023.850207,200,1941.528766
-1112.088244,200,1950.041527
-1217.101097,200,1958.554239
-1246.022551,200,1967.064397
-1120.046657,200,1975.570656
-1146.675339,200,1984.022172
-1404.708703,200,1992.721402
-1135.406551,200,2001.249739
-1264.112318,200,2009.803495
-1064.971941,200,2018.276937
-1497.350832,200,2026.908568
-1268.138991,200,2035.607247
-1490.847131,200,2044.147942
-946.926715,200,2052.773614
-1211.173905,200,2061.413073
-1179.587693,200,2069.914007
-1047.078594,200,2078.510189
-1101.54268,200,2087.363083
-1494.901056,200,2096.07698
-1338.949968,200,2104.976338
-1492.284682,200,2113.649091
-964.456405,200,2122.376389
-1007.477268,200,2131.161536
-1248.198478,200,2139.904639
-1365.697124,200,2148.530151
-1109.320764,200,2157.291471
-1541.738152,200,2165.995105
-1410.610112,200,2174.694989
-1415.710838,200,2183.529996
-1407.212321,200,2192.330672
-1504.217719,200,2201.010427
-1028.080572,200,2209.783171
-1491.74742,200,2220.147315
-977.771069,200,2231.326483
-1321.689583,200,2241.974658
-1030.083306,200,2252.623995
-1237.253851,200,2262.760528
-1104.617146,200,2272.178305
-1501.974235,200,2281.956683
-1271.982338,200,2291.800078
-1261.379877,200,2301.327348
-1550.286056,200,2311.136422
-1313.213962,200,2320.669464
-1367.403378,200,2330.306181
-968.865401,200,2339.631112
-1341.264028,200,2348.93637
-1036.581053,200,2358.8662
-1009.364971,200,2368.481346
-1313.723262,200,2378.129055
-1492.753011,200,2387.395158
-1487.420023,200,2397.859324
-1497.930358,200,2408.778347
-1414.351236,200,2418.978381
-1277.26778,200,2431.097065
-1418.52202,200,2441.528541
-1372.701546,200,2451.614011
-1083.829209,200,2461.556113
-1249.685759,200,2470.964343
-1056.059461,200,2480.540707
-1269.050643,200,2489.874204
-1135.093313,200,2499.505392
-1024.349088,200,2509.196892
-1456.412262,200,2519.19619
-1085.001624,200,2528.556478
-1373.139483,200,2538.240955
-1026.1717,200,2548.285752
-1492.876004,200,2557.532978
-1104.191357,200,2567.418833
-1278.212531,200,2576.858512
-1184.014134,200,2586.530566
-1034.566721,200,2596.060934
-1315.516601,200,2605.584394
-1169.861353,200,2615.24848
-1383.229162,200,2624.808185
-1366.357212,200,2634.147576
-1497.287014,200,2643.90533
-1300.206291,200,2653.270433
-1399.151901,200,2662.87552
-1414.127812,200,2672.292349
-1402.181609,200,2681.782424
-1437.896964,200,2691.743354
-1114.737465,200,2701.060505
-1268.867506,200,2710.768622
-1420.142188,200,2720.135283
-1313.094008,200,2729.639216
-1436.066844,200,2739.367261
-1216.696398,200,2748.843365
-1129.250256,200,2758.649144
-1307.024404,200,2768.05266
-844.714893,200,2777.480471
-1031.760617,200,2787.69719
-1186.767037,200,2797.177597
-1274.81189,200,2807.274297
-1139.305492,200,2816.726452
-1252.096074,200,2826.446516
-1244.285894,200,2836.212457
-1373.69398,200,2845.818115
-1240.031103,200,2855.805445
-1031.288805,200,2865.341467
-1194.343722,200,2875.234199
-1290.347281,200,2884.822781
-1059.355999,200,2894.647333
-1243.013823,200,2904.622819
-1345.397115,200,2914.237084
-1361.585793,200,2924.240685
-1046.465334,200,2933.909594
-882.811327,200,2943.896043
-1064.485051,200,2953.792656
-981.258718,200,2963.67612
-1099.15586,200,2973.431804
-1117.647424,200,2983.047404
-817.643198,200,2993.313554
-1518.908471,200,3003.276791
-693.249208,200,3013.030796
-1504.320293,200,3022.832976
-1534.513408,200,3032.542848
-1282.41071,200,3042.551597
-1034.065873,200,3052.232996
-1525.486769,200,3062.499305
-1092.327704,200,3072.260539
-1301.336066,200,3082.215371
-1410.227885,200,3092.339905
-1463.665793,200,3102.157454
-1203.213224,200,3112.105587
-966.458068,200,3122.001878
-1065.083057,200,3132.116427
-935.834787,200,3141.974219
-1016.891397,200,3151.882695
-1230.245246,200,3161.544144
-1306.643439,200,3171.643175
-861.384845,200,3181.508578
-982.10445,200,3191.209019
-843.085094,200,3201.119963
-1267.228804,200,3210.816224
-1494.5829,200,3220.817078
-1118.634063,200,3230.677704
-1416.811427,200,3240.550647
-1291.483598,200,3250.570469
-936.92462,200,3260.302349
-833.398691,200,3270.405044
-1238.698437,200,3280.165924
-808.617344,200,3290.149776
-1016.326415,200,3300.315302
-1303.710014,200,3310.128781
-1495.910209,200,3320.495935
-915.719384,200,3330.373512
-1507.691909,200,3340.531568
-1251.651122,200,3350.401595
-1229.672538,200,3360.172815
-1307.72693,200,3370.207428
-950.44915,200,3379.82765
-1267.412421,200,3389.898215
-1437.312582,200,3399.701487
-869.951822,200,3409.429532
-1010.149359,200,3419.514457
-1493.285078,200,3429.220633
-1025.742711,200,3439.294641
-1507.814198,200,3449.178662
-1104.137783,200,3459.451209
-1319.845511,200,3469.041712
-1270.857335,200,3478.622215
-920.791944,200,3488.568341
-1175.968472,200,3498.122699
-1469.886386,200,3508.16574
-1225.574074,200,3517.766552
-1409.272139,200,3527.342145
-1210.249821,200,3537.50832
-1235.649911,200,3547.201364
-733.896679,200,3557.219437
-1036.815306,200,3567.507212
-1251.660558,200,3577.401169
-1296.470237,200,3587.842114
-1396.961872,200,3597.99657
-1286.708589,200,3607.895771
-966.440307,200,3617.870279
-1384.38788,200,3627.836716
-1048.698809,200,3638.115939
-1406.963347,200,3648.025286
-1273.668168,200,3658.232472
-1292.983345,200,3667.902007
-1392.410672,200,3678.162752
-1388.042328,200,3688.364686
-1494.481614,200,3698.463528
-1166.226521,200,3708.882681
-987.874714,200,3718.564676
-1080.002466,200,3728.777516
-1283.148522,200,3738.916439
-1364.57297,200,3748.967951
-963.527854,200,3759.065423
-949.057869,200,3769.385571
-1411.770354,200,3779.302844
-1525.001017,200,3789.357713
-859.349017,200,3799.723268
-874.600611,200,3816.461946
-1500.615726,200,3827.275247
-1178.038265,200,3837.615425
-1152.0634,200,3848.583023
-1429.986068,200,3858.983395
-1281.292933,200,3869.669325
-1154.800545,200,3879.772471
-1347.655217,200,3889.860002
-1399.016682,200,3900.154245
-1494.764861,200,3953.128762
-1262.270866,200,3963.148326
-1087.684017,200,3972.967731
-1279.589592,200,3983.254703
-1131.0398,200,3994.133247
-945.368003,200,4003.927388
-1067.016298,200,4013.953951
-1507.759162,200,4023.248279
-1347.170916,200,4033.148625
-1250.278384,200,4043.394969
-1041.417572,200,4053.158883
-1090.965327,200,4063.226993
-1247.730398,200,4073.121328
-1364.138527,200,4082.518714
-1245.615885,200,4092.540401
-857.939417,200,4102.00038
-1203.576911,200,4111.796387
-1019.366012,200,4121.523456
-1009.633669,200,4131.666399
-935.351509,200,4141.139806
-1494.967314,200,4151.644452
-978.235402,200,4160.898063
-1497.512988,200,4170.134136
-1205.492885,200,4179.562771
-1366.997358,200,4188.833489
-1067.339198,200,4198.137211
-1165.366284,200,4207.356409
-1260.132704,200,4216.66437
-1396.164126,200,4225.78272
-1102.186186,200,4235.163207
-1384.912683,200,4244.344433
-1074.768058,200,4253.899995
-976.411839,200,4263.894144
-916.803999,200,4273.378197
-1385.032782,200,4283.213032
-891.888251,200,4293.594048
-1164.086134,200,4303.142035
-1225.00043,200,4312.54283
-1306.013572,200,4321.823245
-1075.095065,200,4331.132421
-1272.199183,200,4342.428939
-1495.951128,200,4352.86241
