#{"t_start": 1726763661.8019724, "env_id": "None"}
r,l,t
-1443.061091,200,14.801328
-1400.913681,200,24.625355
-1339.259835,200,34.094383
-917.232364,200,43.792389
-1598.047562,200,53.834373
-1294.27871,200,63.219449
-1655.139218,200,72.370324
-1641.320334,200,81.914152
-1424.688074,200,91.383966
-1657.527708,200,100.830215
-1405.613819,200,110.185185
-1515.160569,200,119.539078
-1524.409345,200,128.993188
-1369.776987,200,138.324421
-1599.60773,200,147.589357
-1632.20961,200,157.212998
-1643.344667,200,166.411977
-1461.867918,200,175.883552
-1537.689175,200,185.277081
-1591.143505,200,194.571324
-1590.49861,200,203.938451
-1657.188324,200,213.491994
-1507.161073,200,222.922105
-1377.741764,200,232.123219
-1373.289238,200,241.622205
-1401.956994,200,251.015296
-1383.422833,200,260.595267
-1357.680554,200,269.977023
-1486.076316,200,279.188288
-1349.162727,200,288.737532
-1280.517941,200,298.019458
-1231.435576,200,307.697256
-1211.565742,200,317.069919
-1303.005074,200,326.71137
-1195.884637,200,337.007884
-1045.626655,200,346.675951
-1017.792757,200,356.64026
-903.227619,200,366.212465
-895.945398,200,376.114811
-766.92724,200,385.783621
-749.766837,200,395.239048
-635.243253,200,404.871298
-751.387565,200,414.424031
-628.90134,200,424.215405
-258.794874,200,433.974533
-845.745168,200,443.420468
-993.704228,200,453.043489
-1004.762249,200,462.259442
-1124.398849,200,471.716342
-1047.312091,200,481.287382
-1020.175464,200,490.618203
-992.797852,200,500.208278
-889.162146,200,509.481215
-975.490737,200,518.85348
-881.660204,200,528.349069
-890.186554,200,537.944236
-885.69738,200,547.618109
-987.112726,200,556.899178
-787.051851,200,566.414495
-781.756605,200,575.540192
-649.526484,200,584.808916
-734.861897,200,594.272418
-631.425765,200,603.452485
-1740.537255,200,612.77253
-394.145543,200,622.032424
-418.529983,200,631.397414
-391.010169,200,640.754525
-635.962817,200,650.090113
-1656.054101,200,659.617228
-603.343211,200,668.839755
-634.369599,200,678.093554
-645.367973,200,687.281804
-564.587247,200,696.806019
-641.446889,200,706.037299
-714.28879,200,715.237602
-647.513516,200,724.538796
-689.21613,200,733.772419
-517.663563,200,742.956182
-5.61494,200,752.524445
-129.859792,200,761.802386
-116.537505,200,771.102394
-1498.994799,200,780.443576
-382.728465,200,789.571594
-356.36704,200,799.140594
-126.099999,200,808.312469
-243.949847,200,817.709247
-144.127998,200,826.872622
-141.475601,200,836.124624
-143.098439,200,845.764644
-136.970441,200,855.188024
-360.460455,200,864.624281
-251.682091,200,873.745082
-250.232382,200,883.06811
-254.986917,200,892.246443
-926.179811,200,901.474323
-150.574382,200,911.166198
-264.036776,200,920.38628
-137.815633,200,929.782044
-142.13658,200,939.150086
-146.15286,200,948.412999
-263.632627,200,957.93702
-271.940527,200,967.286492
-150.041876,200,976.57801
-268.091018,200,986.008042
-251.630135,200,995.465551
-150.436696,200,1004.817042
-149.638682,200,1014.22396
-248.285814,200,1023.358998
-144.803756,200,1032.84232
-26.406605,200,1042.293876
-138.594282,200,1051.598434
-145.349894,200,1061.027852
-146.738377,200,1070.384992
-150.508391,200,1079.774526
-145.367398,200,1088.96904
-145.526786,200,1098.212528
-146.056275,200,1107.510049
-148.442111,200,1116.815263
-148.1407,200,1126.47723
-136.43737,200,1135.632105
-274.319611,200,1145.030418
-257.967136,200,1154.592049
-137.792704,200,1163.807596
-141.632102,200,1173.230277
-370.536588,200,1182.487719
-143.726257,200,1192.668311
-146.40505,200,1203.395341
-135.516088,200,1213.423394
-350.184409,200,1223.182094
-134.006712,200,1232.460466
-144.056576,200,1241.9932
-139.405572,200,1251.441184
-277.090701,200,1260.869069
-142.183035,200,1270.34152
-271.948779,200,1279.789041
-147.62471,200,1289.194323
-141.791929,200,1298.699116
-146.445462,200,1308.59219
-144.774675,200,1318.146193
-255.60787,200,1327.776594
-148.373448,200,1337.446581
-148.819025,200,1346.966113
-26.599427,200,1356.715471
-25.567013,200,1366.270094
-143.005738,200,1375.532049
-140.910195,200,1384.985842
-244.34653,200,1394.763244
-401.836391,200,1404.309452
-149.371765,200,1413.99539
-150.148136,200,1423.679506
-140.134965,200,1433.242543
-250.332244,200,1442.802209
-147.355538,200,1452.472608
-259.102068,200,1462.032178
-137.793828,200,1471.581211
-23.593548,200,1480.966095
-272.308746,200,1490.760598
-126.741496,200,1500.698161
-126.559321,200,1510.829432
-13.49076,200,1520.394362
-11.624498,200,1530.15044
-11.500382,200,1540.114637
-134.35749,200,1549.969178
-6.357568,200,1560.352268
-5.539425,200,1570.327369
-227.387876,200,1579.792194
-132.11155,200,1589.531548
-238.251959,200,1599.091428
-123.286864,200,1608.811152
-3.303421,200,1618.609576
-117.246249,200,1628.327196
-241.115704,200,1637.985535
-125.243725,200,1647.633291
-227.677332,200,1657.466454
-124.6031,200,1667.002588
-243.918149,200,1676.75765
-233.505183,200,1686.441617
-112.240949,200,1696.072284
-125.963803,200,1705.817607
-126.441162,200,1715.049149
-117.918873,200,1725.002136
-122.023317,200,1735.24088
-123.645737,200,1745.359213
-116.153691,200,1755.326688
-249.403346,200,1765.379378
-356.139126,200,1775.229691
-236.667266,200,1785.328175
-123.674748,200,1795.073519
-221.973351,200,1804.761289
-120.013356,200,1814.515329
-2.528849,200,1824.10344
-247.255002,200,1833.785304
-239.394948,200,1843.72769
-129.661418,200,1853.453724
-127.768936,200,1863.207168
-231.481677,200,1873.067953
-126.868517,200,1882.779858
-222.404015,200,1892.976998
-230.228028,200,1903.341446
-3.406276,200,1913.333445
-246.01353,200,1922.6992
-245.574423,200,1932.28427
-3.711282,200,1942.217694
-124.253362,200,1952.419298
-128.02684,200,1962.806019
-128.078062,200,1973.144914
-121.00377,200,1983.533715
-2.393125,200,1993.975167
-2.08856,200,2004.34021
-122.178697,200,2014.667662
-118.787147,200,2024.917805
-128.581773,200,2035.207911
-128.358739,200,2045.350307
-123.617346,200,2055.79767
-238.998186,200,2066.035761
-238.789305,200,2076.307999
-223.909067,200,2087.050295
-122.97784,200,2098.881651
-124.275286,200,2110.134173
-235.776157,200,2120.298165
-238.212655,200,2130.651034
-124.287492,200,2140.754787
-234.351702,200,2150.453634
-129.948553,200,2160.48484
-236.733557,200,2170.656309
-124.125939,200,2180.841386
-368.948653,200,2191.258406
-120.873514,200,2201.740412
-232.937165,200,2212.212491
-128.66387,200,2222.871621
-128.934115,200,2232.993381
-6.500336,200,2243.130485
-125.325962,200,2253.408732
-129.490057,200,2263.789576
-127.175714,200,2274.195642
-123.966097,200,2284.113395
-122.769551,200,2293.733674
-132.69684,200,2304.064545
-253.706067,200,2314.394592
-129.320871,200,2324.704356
-123.490717,200,2334.751741
-129.189373,200,2344.782676
-251.633836,200,2354.85852
-127.790756,200,2365.122769
