#{"t_start": 1726777673.986109, "env_id": "None"}
r,l,t
-8.868289960983926e+21,200,10.645942
-1792.194361,200,21.031242
-2283.993483,200,30.946477
-5080.745077,200,41.049999
-70909484.113543,200,51.882058
-1713.340815,200,62.364405
-1.658173126646291e+23,200,73.406646
-1.0998459784592386e+26,200,84.166169
-1667.923648,200,95.034899
-1709.7602,200,105.131785
-1998.859652,200,115.223376
-100076879.810641,200,125.318956
-12179.090923,200,135.398021
-1630.406462,200,145.703301
-102156785.998205,200,155.784215
-4.949417946442314e+25,200,165.682834
-1.1083496561614809e+27,200,175.602628
-7.228272909472538e+25,200,185.447527
-20442241.350492,200,195.272846
-1744.038477,200,205.76496
-50015789.92533,200,216.486758
-73832500.802408,200,227.198891
-38302.990471,200,237.755473
-5.22098802234134e+22,200,248.319683
-1787.875744,200,258.906168
-1639.205189,200,269.528336
-8.508187300293206e+22,200,279.907692
-1.3939715585491893e+23,200,290.479296
-2.532322356948806e+25,200,301.09116
-61491325.337754,200,311.330553
-2.607331797313262e+23,200,321.674344
-686841.715459,200,332.337487
-6429588.639831,200,342.806067
-6.033066323500771e+26,200,353.157423
-22696001.723742,200,363.574271
-9603177.553635,200,373.85729
-1694.784465,200,384.273367
-2.938296383743275e+21,200,394.882006
-62327459.973434,200,405.439867
-8.400896637453992e+24,200,415.819927
-1652.782661,200,426.133071
-3.363315222340512e+25,200,436.639885
-24298968.342132,200,447.129841
-2.908814582844479e+25,200,457.878514
-1702.3876,200,468.49211
-9.121251255756953e+25,200,479.033917
-8.429165049516094e+22,200,489.473075
-3.9608859354220485e+26,200,499.898377
-3480181.145281,200,510.612033
-1748.23881,200,521.186784
-1729.231339,200,531.60443
-1743.533987,200,542.062053
-1743.527584,200,552.511112
-9.655705149011119e+25,200,562.946497
-9931.262899,200,573.482817
-2582198.161255,200,584.20347
-75893149.883363,200,594.877386
-43922456.536513,200,605.524269
-86918311.972794,200,616.208331
-52903628.937125,200,626.728116
-1.7655754375589402e+23,200,637.188944
-30707940.812529,200,647.955697
-84187829.219647,200,658.575372
-7.541200806358731e+26,200,669.15969
-3.8255500081886285e+25,200,679.723639
-1721.767254,200,690.171166
-35484971.131728,200,700.603056
-37057221.493367,200,711.105368
-2.3272922590897787e+23,200,722.104829
-5.1147123997075195e+22,200,732.53105
-1845.077765,200,743.252819
-1805.246662,200,753.744679
-1636.756077,200,764.220444
-79790801.283914,200,774.753571
-1.1303130519206537e+22,200,785.426973
-22650815.274194,200,796.066898
-1743.206036,200,806.654934
-2.4127985103495585e+26,200,817.142148
-5.817954157243861e+24,200,827.735324
-1.64297913640135e+25,200,838.199159
-1.970009694443334e+26,200,848.965215
-7.087495848286244e+25,200,859.571905
-10679512.352878,200,870.104456
-2242.692078,200,880.611875
-3.559704331307737e+26,200,891.131225
-6.153505374340282e+23,200,901.555844
-3.467210931158826e+26,200,912.205916
-2.0674452772777264e+25,200,922.70048
-8.991142263317579e+24,200,933.246438
-1651.504027,200,943.970673
-51701849.52524,200,955.051219
-6.564463515424995e+24,200,966.186013
-8237.417466,200,977.329754
-1838.986343,200,988.369083
-489169.400072,200,999.602988
-2031.727259,200,1010.666257
-1969.073978,200,1021.598345
-13829530.373926,200,1032.715521
-1905.722229,200,1044.023333
-3904478.007437,200,1055.080812
-1835.76753,200,1066.102681
-2.0001820512385988e+16,200,1077.060701
-3175604.588257,200,1088.010706
-6330098.310452,200,1098.954902
-2019.86438,200,1110.230087
-1959.745927,200,1121.213414
-4546.432487,200,1132.281068
-3.4425905689347776e+16,200,1143.387849
-1371730.229557,200,1154.356234
-1641.080225,200,1165.566283
-1656.243343,200,1177.092866
-3.513691096866437e+17,200,1187.971654
-1.412320596890905e+21,200,1199.153739
-1647.254008,200,1209.94243
-8452991.153423,200,1220.717187
-1902.738382,200,1231.512479
-1005375.904211,200,1242.233111
-11091079.154709,200,1253.378953
-1910.743878,200,1264.149251
-1956.223231,200,1275.005317
-1868.176044,200,1286.120605
-1896.318113,200,1296.971333
-5293255.993005,200,1307.891105
-1805.913953,200,1319.190509
-1816.320659,200,1330.300228
-1742.859807,200,1341.398931
-3.746319269378683e+19,200,1352.067419
-2.387549855810517e+18,200,1362.584191
-3.2356335829611e+21,200,1373.021098
-3.662072946546518e+21,200,1383.722629
-7.677053024451317e+19,200,1394.221422
-9.270736413618286e+19,200,1404.688687
-5.051199079641166e+20,200,1415.091116
-3.567923849607514e+20,200,1425.598816
-2.7482747795597127e+22,200,1436.139795
-1.6843829578665894e+21,200,1446.948305
-1.48454215316799e+22,200,1457.651215
-2.1484240698987426e+22,200,1468.090152
-3.34266578354569e+22,200,1478.579989
-1.705737969826384e+21,200,1489.081048
-6.482947457251892e+20,200,1499.816369
-2502451077353389.5,200,1510.482813
-4.130303939287421e+22,200,1520.919813
-1.1160550539078273e+25,200,1531.559075
-3.437203281608921e+22,200,1542.17895
