#{"t_start": 1726928726.7395525, "env_id": "None"}
r,l,t
-4046.393108,200,19.609721
-1665.406945,200,30.310998
-1661.817873,200,40.653515
-1677.771266,200,51.516779
-1721.728834,200,62.030434
-1739.247767,200,72.832024
-1701.959535,200,83.422621
-1837.710718,200,93.842448
-1741.251507,200,104.629616
-1686.254188,200,115.22216
-1640.667929,200,125.982068
-1623.824965,200,136.700973
-1594.778291,200,147.08815
-1579.449477,200,157.676651
-1557.293816,200,168.414744
-1545.472583,200,179.745752
-1531.051843,200,190.808838
-1522.275817,200,201.890624
-1515.624105,200,212.57749
-1513.482126,200,222.976825
-1513.940939,200,233.548671
-1509.420423,200,243.932636
-1508.503033,200,254.481411
-1508.495265,200,264.740718
-1507.572005,200,274.989122
-1512.756703,200,285.095098
-1512.080254,200,295.389767
-1506.53872,200,306.466401
-1506.669402,200,318.168618
-1548.512031,200,328.446631
-1563.074879,200,338.707289
-1587.09083,200,348.734817
-1589.676668,200,359.178324
-1591.546617,200,369.328534
-1530.257787,200,380.098666
-1617.01264,200,390.423632
-1551.912112,200,401.004649
-1503.639219,200,411.481436
-1508.112696,200,421.919804
-1507.437362,200,432.604683
-1528.89413,200,443.53044
-1550.307189,200,453.593677
-1535.669488,200,463.870718
-1518.715034,200,474.258188
-1511.498863,200,484.749011
-1508.278604,200,494.972706
-1547.941437,200,505.248203
-1598.331283,200,515.62078
-1605.727398,200,525.884898
-1620.014296,200,536.498131
-1527.913165,200,546.802148
-1652.009838,200,557.186745
-1607.283658,200,567.33067
-1606.762787,200,577.610388
-1598.312483,200,588.327235
-1541.842819,200,598.848897
-1546.663606,200,608.894603
-1518.716125,200,619.35779
-1519.489905,200,630.029862
-1519.042111,200,640.489238
-1540.278931,200,651.029759
-1527.217037,200,661.167851
-1632.961296,200,671.12481
-1552.276519,200,681.09557
-1535.295073,200,691.251272
-1530.030896,200,701.350782
-1520.854531,200,711.721781
-1519.317916,200,721.963959
-1635.28694,200,732.458594
-1727.176666,200,742.726786
-1803.802919,200,753.299252
-1900.536988,200,763.543112
-1879.641685,200,773.791637
-1854.886365,200,784.593804
-1826.750517,200,795.157167
-1818.344441,200,805.893093
-1818.846035,200,816.77936
-1791.754673,200,827.442324
-1841.939575,200,838.065599
-1889.143516,200,848.362237
-1887.757122,200,858.782434
-1908.658695,200,869.59798
-1935.248233,200,879.776108
-1844.876634,200,890.226199
-1803.575619,200,900.711324
-1493.764812,200,910.90413
-1564.600427,200,921.394907
-1551.665664,200,931.617972
-1539.105818,200,941.553971
-1565.800545,200,952.505339
-1541.464017,200,963.169417
-1557.988889,200,973.722584
-1549.636651,200,984.124392
