#{"t_start": 1726766588.8241365, "env_id": "None"}
r,l,t
-1348.247159,200,22.523441
-1861.01529,200,33.447537
-864.336159,200,43.893416
-777.834941,200,54.382819
-1441.391716,200,65.31824
-1311.449636,200,75.518097
-1152.308021,200,86.004401
-1124.122531,200,96.713165
-1777.999148,200,107.390233
-1478.166119,200,118.022309
-867.719142,200,128.57538
-1676.356918,200,140.36729
-966.648261,200,150.801421
-945.398381,200,161.723662
-785.252063,200,172.763939
-1370.895387,200,183.748344
-995.682737,200,194.445693
-841.901581,200,205.319351
-998.418519,200,216.280355
-1256.676644,200,227.157486
-1003.725519,200,238.25779
-1441.190111,200,249.192757
-1191.180718,200,259.937367
-1521.187965,200,270.638363
-890.974962,200,281.688406
-1092.4739,200,292.699796
-903.797704,200,303.657033
-1061.616464,200,314.397523
-907.71045,200,324.97587
-1230.924024,200,335.659873
-912.925036,200,346.346874
-883.064719,200,357.140495
-1422.083998,200,368.696911
-963.84541,200,379.30203
-761.074046,200,390.453686
-1401.445042,200,400.894629
-890.15568,200,411.475729
-1766.604365,200,422.009791
-1466.434493,200,433.174419
-1340.310675,200,444.346438
-1347.104612,200,456.021378
-1798.608459,200,467.530221
-1287.225531,200,478.636524
-1744.455607,200,489.761284
-1615.623559,200,501.177576
-1051.071468,200,512.443751
-861.66076,200,523.942784
-997.610512,200,535.346533
-974.626017,200,546.5938
-1053.323461,200,557.760692
-1369.207972,200,569.036555
-894.675314,200,580.086909
-981.934156,200,591.400726
-869.205865,200,602.623134
-891.958515,200,613.826638
-1072.657266,200,624.978734
-918.674492,200,636.009555
-859.551693,200,647.203196
-1071.40378,200,658.617057
-963.58272,200,669.676196
-1101.949595,200,680.789024
-969.074498,200,691.818172
-1079.773972,200,702.954565
-968.17858,200,714.072032
-1366.128507,200,725.253777
-1487.482485,200,736.336832
-987.950875,200,747.349276
-746.898293,200,758.549709
-985.421702,200,769.667938
-963.668413,200,781.023447
-860.668831,200,792.169111
-863.554914,200,803.307094
-856.196076,200,814.477613
-619.078985,200,825.711208
-367.22163,200,837.107227
-497.284615,200,848.682112
-374.446687,200,860.76681
-125.640761,200,872.557467
-550.421443,200,885.012858
-364.267422,200,897.294275
-1115.444427,200,909.29252
-769.731265,200,921.304755
-723.009459,200,932.903813
-627.941887,200,944.401251
-612.797151,200,956.089803
-497.208002,200,968.034653
-618.004423,200,979.646954
-897.160366,200,991.416367
-869.621319,200,1002.794549
-821.720243,200,1014.622611
-836.510125,200,1026.663818
-865.152662,200,1038.416833
-753.104352,200,1050.24486
-760.827306,200,1062.272796
-653.370047,200,1074.281834
-738.117012,200,1086.223017
-752.164206,200,1098.267519
-609.575704,200,1109.995293
-642.649218,200,1121.926663
-501.512428,200,1133.793335
-119.505165,200,1146.041846
-130.19019,200,1158.01392
-343.084451,200,1169.820077
-346.482198,200,1181.771662
