#{"t_start": 1726940585.779264, "env_id": "None"}
r,l,t
-1613.116923,200,38.756212
-1665.96623,200,50.824484
-1610.453581,200,62.670967
-1773.851708,200,74.47641
-1744.498816,200,86.433586
-1740.613251,200,97.991485
-1692.783822,200,110.005563
-1742.215225,200,121.602422
-1800.799953,200,133.506544
-1738.105931,200,145.185613
-1738.33999,200,156.702572
-1769.589911,200,168.136192
-1857.268526,200,179.938633
-1656.592556,200,191.556242
-1647.21261,200,203.284592
-1659.328286,200,214.816515
-1661.547456,200,226.350312
-1817.924212,200,237.821562
-1840.438731,200,249.301604
-1729.896028,200,260.724585
-1790.004199,200,272.146881
-1736.267656,200,283.476381
-1700.824497,200,294.857909
-1796.317915,200,306.273018
-1838.859822,200,317.843502
-1831.291031,200,329.263679
-1802.80462,200,340.699877
-1822.133492,200,352.137769
-1746.328252,200,363.63103
-1755.940813,200,375.208581
-1800.86514,200,386.545324
-1793.19188,200,397.954228
-1813.376337,200,409.496583
-1779.076549,200,421.076114
-1821.99364,200,432.62131
-1853.481036,200,444.245266
-1808.549152,200,455.721296
-1853.295162,200,467.336571
-1854.977101,200,478.818794
-1867.19963,200,490.188873
-1843.174815,200,501.513298
-1852.462248,200,513.159976
-1847.579065,200,524.620826
-1836.544971,200,536.026684
-1849.964011,200,547.389225
-1835.258371,200,558.862758
-1833.462627,200,570.76276
-1810.525493,200,582.37795
-1849.270899,200,593.793047
-1850.62827,200,605.06258
-1828.921398,200,616.401541
-1814.412509,200,627.896748
-1778.471471,200,639.379072
-1847.684318,200,650.912663
-1790.529044,200,662.391172
-1784.249049,200,673.794469
-1628.510024,200,685.078534
-1523.371339,200,696.649211
-1538.033728,200,708.4693
-1587.313454,200,720.238116
-1588.844311,200,732.144076
-1535.387964,200,743.569748
-1529.606652,200,754.873046
-1510.473541,200,766.434296
-1482.291382,200,778.176525
-1479.212418,200,790.029631
-1460.733272,200,803.326047
-1548.270256,200,815.343472
-1659.034388,200,828.262254
-1675.087648,200,841.044298
-1692.007408,200,854.18738
-1744.208273,200,865.959158
-1700.943545,200,878.157663
-1713.031882,200,890.071631
-1712.594347,200,901.908867
-1712.520433,200,914.17599
-1635.523859,200,926.57131
-1633.806136,200,939.825155
-1585.829726,200,952.19295
-1574.381798,200,964.055003
-1577.560451,200,975.927293
-1543.114401,200,987.752003
-1586.05603,200,999.82307
-1568.212992,200,1011.719167
-1657.700937,200,1023.797379
-1702.121467,200,1036.353979
-1710.275339,200,1048.336173
-1712.315863,200,1060.944116
-1748.761715,200,1073.509615
-1737.599418,200,1086.16811
-1747.148759,200,1098.295117
-1715.032765,200,1110.738366
-1692.779851,200,1122.767007
-1677.806568,200,1134.736041
-1647.891661,200,1146.601994
-1638.889195,200,1158.096151
-1610.924165,200,1170.028474
-1566.749378,200,1181.228159
-1509.924029,200,1193.055496
-1498.106058,200,1205.63193
-1465.069727,200,1217.104279
-1369.397489,200,1228.76292
-1425.34914,200,1240.109162
-1387.264325,200,1251.598355
-1411.279536,200,1262.751251
-1413.383807,200,1274.585356
-1467.507321,200,1288.250378
-1408.919385,200,1301.348189
-1409.586901,200,1313.492384
-1438.183344,200,1325.510441
-1412.102146,200,1337.925311
-1418.488799,200,1350.627287
-1399.266585,200,1362.886798
-1379.345963,200,1374.802197
-1440.472359,200,1386.572405
-1484.067251,200,1398.354543
-1496.851968,200,1410.235409
-1532.152902,200,1422.594433
-1718.39527,200,1434.52637
-1468.418213,200,1446.503627
-1294.944285,200,1458.123141
-1325.985935,200,1469.996408
-1336.465707,200,1482.169345
-1336.665709,200,1494.104323
-1309.295565,200,1505.982261
-1294.300477,200,1517.967923
-1291.428797,200,1529.877451
-1316.245894,200,1541.783676
-1292.360506,200,1553.696524
-1327.52977,200,1565.927933
-1312.559657,200,1578.05548
-1310.247361,200,1590.271616
-1316.387973,200,1602.120543
-1303.177036,200,1613.98886
-1311.348157,200,1626.796707
-1280.178809,200,1638.897833
-1279.91726,200,1650.953001
-1287.937517,200,1666.644485
-1347.019661,200,1678.020401
-1423.725362,200,1688.923412
-1432.294314,200,1700.485176
-1488.231013,200,1711.576331
-1267.755152,200,1723.029551
-1505.651523,200,1734.465561
-1299.819723,200,1745.905758
-1277.454575,200,1756.900327
-1310.410026,200,1768.307317
-1318.928136,200,1779.488629
-1221.171227,200,1790.66239
-1340.832124,200,1801.599624
-1243.920476,200,1812.68739
-1237.851914,200,1823.716547
-1237.381042,200,1834.627876
-1238.859663,200,1845.683283
-1253.22108,200,1856.704296
-1175.947029,200,1867.713369
-1243.587428,200,1878.805561
-1072.115142,200,1890.006404
-1130.546227,200,1901.455272
-990.404713,200,1914.099353
-1135.047187,200,1926.000305
-1193.090336,200,1937.749305
-1083.973236,200,1949.369275
-1039.602214,200,1961.163316
-1121.911697,200,1973.423936
-1056.147849,200,1984.780349
-1049.149349,200,1997.106414
-979.676669,200,2009.154395
-1112.999102,200,2021.377699
-978.969423,200,2033.37738
-999.819821,200,2045.175266
-784.114852,200,2057.591642
-727.813386,200,2069.656363
-1088.115869,200,2081.189542
-935.851885,200,2092.293383
-682.756264,200,2103.751856
-1029.724753,200,2114.677685
-542.515213,200,2126.338449
-741.325901,200,2138.498796
-610.363826,200,2150.025671
-763.842251,200,2162.386389
-767.55271,200,2174.777982
-547.92821,200,2186.496693
-906.172647,200,2199.146816
-1113.498579,200,2211.729327
-891.822991,200,2223.168578
-390.810412,200,2234.862597
-543.480042,200,2246.870706
-717.731209,200,2258.775635
-569.766416,200,2270.701532
-570.38854,200,2281.934801
-571.448467,200,2294.066725
-561.401968,200,2306.583521
-563.296063,200,2318.973934
-412.591803,200,2331.96914
-418.980566,200,2344.38694
-409.672533,200,2356.495513
-426.001733,200,2369.041876
-590.833625,200,2381.312936
-569.135126,200,2393.907972
-738.979137,200,2405.663516
-414.093076,200,2423.996473
-402.373547,200,2443.040475
-586.861021,200,2461.972486
-573.665686,200,2480.927707
-410.329887,200,2499.770559
-394.538988,200,2519.133495
-551.535163,200,2537.712033
-756.30971,200,2556.951072
-567.238623,200,2575.972495
-739.267089,200,2595.27534
-417.847842,200,2614.705795
-545.845964,200,2634.412551
-544.272996,200,2653.677783
-586.048168,200,2673.158184
