#{"t_start": 1727010631.074354, "env_id": "None"}
r,l,t
-1570.164606,200,38.215959
-1704.795587,200,50.777375
-1538.016985,200,63.395676
-1327.397171,200,75.977091
-1652.400886,200,89.652449
-1661.813497,200,102.409439
-1641.52737,200,114.907326
-1772.3835,200,127.446302
-1621.071162,200,140.060847
-1450.483436,200,152.456488
-1113.442864,200,165.040736
-1776.987154,200,179.495535
-1650.547914,200,192.170735
-1070.711074,200,204.694538
-1057.962751,200,217.221234
-1487.638689,200,229.755636
-1735.620829,200,242.542389
-1646.640327,200,256.056204
-1594.345873,200,269.949496
-1805.632088,200,282.609446
-1458.136264,200,295.115785
-1552.934665,200,307.658909
-1420.379782,200,320.358018
-1321.818954,200,333.280716
-1224.741336,200,348.12077
-1710.307234,200,361.791941
-1561.690828,200,374.95562
-1130.959361,200,387.873888
-1661.479696,200,400.732864
-1632.584336,200,413.749285
-1465.18734,200,427.396009
-1668.869489,200,441.907847
-1673.89316,200,455.191837
-975.656681,200,468.203293
-965.364987,200,481.292811
-1593.564112,200,494.466395
-1647.550685,200,507.588234
-1657.261232,200,522.213739
-1814.959036,200,535.906114
-1732.952286,200,548.990979
-1750.513584,200,562.119965
-1614.386364,200,575.355434
-1237.270367,200,588.410364
-865.761877,200,601.512222
-1664.681507,200,616.460412
-1001.614018,200,629.731294
-1463.846701,200,642.865148
-1591.080482,200,655.967394
-1545.335241,200,669.085546
-1710.252805,200,682.143827
-1585.361025,200,696.467606
-1178.238471,200,710.472435
-1547.76274,200,723.62349
-1636.792417,200,736.70611
-1342.97157,200,749.467025
-1199.254967,200,762.00029
-1561.336922,200,775.136482
-1584.563694,200,789.837115
-1013.166128,200,803.164979
-1181.015611,200,816.26517
-997.573334,200,829.319708
-1307.366169,200,842.404812
-1171.957891,200,855.055676
-1019.191369,200,868.064444
-1496.741459,200,881.821869
-1184.579428,200,894.392603
-1577.797401,200,906.981169
-1618.03493,200,920.076329
-1515.552944,200,933.053725
-1130.136847,200,945.545192
-1486.117467,200,960.16406
-1454.528974,200,973.615732
-800.361802,200,986.003436
-786.134224,200,998.41513
-1526.495405,200,1010.92023
-1555.919,200,1023.412235
-1455.553561,200,1035.811793
-1470.609735,200,1049.865309
-1499.244097,200,1062.612348
-1496.436247,200,1074.99861
-498.257382,200,1087.401135
-1454.688622,200,1099.802972
-164.470974,200,1112.192806
-164.25893,200,1126.071141
-1518.74786,200,1139.621479
-1.509206,200,1152.273805
-2.522167,200,1164.95096
-1.161248,200,1177.853699
-0.827396,200,1190.862611
-1506.960076,200,1203.228306
-161.646981,200,1217.623455
-1298.48493,200,1230.701838
-718.548991,200,1243.596403
-336.487831,200,1256.456119
-1928.477136,200,1268.902936
-2292.649587,200,1281.381619
-1.241172,200,1294.737064
-875.874208,200,1308.327893
-921.825235,200,1320.955096
-1569.396507,200,1333.328522
-465.986547,200,1345.698909
-149.974825,200,1358.162849
-289.751173,200,1370.554364
-730.634524,200,1384.553726
-159.252428,200,1397.450258
-376.75476,200,1409.822262
-169.763849,200,1422.31507
-163.833504,200,1434.782708
-774.484582,200,1447.171902
-438.614094,200,1459.583435
-156.65456,200,1473.759275
-427.377046,200,1486.381779
-399.074505,200,1498.878699
-156.116933,200,1511.428504
-162.922567,200,1523.792143
-408.030673,200,1536.238086
-170.017625,200,1549.893423
-420.269622,200,1562.864039
-166.560332,200,1575.240222
-160.132211,200,1587.603797
-164.294418,200,1600.025067
-1.249865,200,1612.469088
-395.295055,200,1625.01294
-344.149193,200,1639.201264
-286.380172,200,1651.937776
-157.718029,200,1664.460074
-147.005644,200,1677.019845
-419.646578,200,1689.402381
-162.692022,200,1701.881241
-166.609337,200,1715.208393
-124.841154,200,1728.552304
-180.01635,200,1740.990706
-437.198348,200,1753.382574
-152.728183,200,1765.800857
-384.310509,200,1778.334805
-291.282313,200,1790.751253
-121.633101,200,1804.754325
-3.140977,200,1817.639018
-270.856207,200,1829.949734
-165.054076,200,1842.337116
-2.197826,200,1854.800076
-1.064323,200,1867.29891
-160.652723,200,1880.428161
-317.777584,200,1894.347143
-1.353377,200,1907.159962
-271.313373,200,1919.714643
-126.217824,200,1932.219615
-158.171922,200,1944.758833
-181.670367,200,1957.206985
-1.48568,200,1971.370232
-275.298579,200,1984.631515
-145.708407,200,1997.262259
-181.467195,200,2010.286436
-168.418884,200,2022.797427
-163.522888,200,2035.29284
-169.244681,200,2047.725022
-279.806103,200,2061.934502
-155.282837,200,2074.654006
-301.23275,200,2087.097063
-1.077662,200,2099.563743
-471.399378,200,2112.043572
-169.565825,200,2124.883828
-1.237669,200,2138.609231
-162.550783,200,2152.160762
-125.994527,200,2164.991266
-180.845901,200,2177.611372
-152.219218,200,2190.025344
-372.031508,200,2202.487592
-282.693393,200,2214.873426
-162.435291,200,2228.827706
-273.503898,200,2241.634263
-149.221578,200,2254.479178
-164.681079,200,2267.38744
-1.54395,200,2280.243671
-125.789433,200,2293.082002
-125.609647,200,2306.50128
-276.862693,200,2320.529463
-284.489756,200,2333.305483
-252.506998,200,2345.654318
-2.825685,200,2358.122068
-158.3586,200,2370.778629
-233.805675,200,2383.223152
-163.432409,200,2397.280308
-155.377858,200,2410.261547
-170.700408,200,2422.594112
-154.330777,200,2435.058098
-152.047185,200,2447.442928
-155.148012,200,2459.844931
-155.374724,200,2472.155964
-163.464443,200,2486.237502
-162.048679,200,2498.9405
-262.092099,200,2511.487781
-1.908113,200,2523.805214
-163.619068,200,2536.219771
-154.208269,200,2548.439187
-156.521682,200,2561.801645
-373.983942,200,2574.803857
-277.078156,200,2587.122003
-154.17674,200,2599.295917
-161.398228,200,2611.439915
-170.480025,200,2623.710987
-153.714492,200,2635.914604
-281.408877,200,2649.651527
-1.580353,200,2662.161331
-277.340655,200,2674.413314
-158.085982,200,2686.742119
-180.876968,200,2698.990045
-146.657186,200,2711.294878
-168.418882,200,2724.251366
-167.855041,200,2737.844005
-414.442964,200,2750.38514
-1.937519,200,2762.680135
-156.919673,200,2774.97658
-153.439925,200,2787.25534
-248.733232,200,2799.493798
-402.50764,200,2813.167838
-2.660702,200,2825.734952
-163.511933,200,2837.954817
-154.92247,200,2850.170476
-167.188578,200,2862.326288
-156.093822,200,2874.552442
-258.614639,200,2887.161937
-128.95401,200,2900.585473
-156.096025,200,2912.786248
-162.182379,200,2924.914015
-264.760069,200,2937.145582
-166.912654,200,2949.245416
-152.898494,200,2961.341232
-259.325817,200,2974.789317
-283.189641,200,2987.668531
-167.542474,200,2999.948514
-2.563147,200,3012.292718
-3.605784,200,3024.69275
-163.149797,200,3037.16014
-180.610586,200,3049.616184
-154.373748,200,3063.717477
-268.292314,200,3076.321768
-259.446609,200,3088.717798
-162.29086,200,3101.128852
-259.01364,200,3113.490917
-295.108194,200,3126.107914
-1.231041,200,3140.11396
-151.602098,200,3153.661342
-154.967846,200,3166.559293
-329.886837,200,3179.364899
-0.838722,200,3191.778818
-277.677341,200,3204.194103
-301.539338,200,3216.61958
-363.506662,200,3230.895962
-2.247161,200,3243.557551
-156.069138,200,3255.898851
-264.6991,200,3268.374517
-162.864229,200,3281.083544
-294.327692,200,3293.485653
-163.415009,200,3306.800204
-148.744907,200,3320.192297
-0.756053,200,3332.600198
-0.660564,200,3344.908728
-166.303102,200,3357.376074
-168.034907,200,3369.836251
-130.66341,200,3382.279319
-238.66728,200,3396.418888
-165.961719,200,3409.02698
-155.458349,200,3421.389143
-153.586117,200,3433.656526
-268.856642,200,3446.118645
-1.18544,200,3458.977779
-268.626912,200,3472.286889
-169.457587,200,3486.186862
-166.462246,200,3499.219383
-153.693016,200,3512.011188
-127.622689,200,3524.26365
-166.054898,200,3536.612575
-166.107677,200,3549.007086
-254.690042,200,3562.761867
-163.833347,200,3575.894394
-154.355934,200,3588.318508
-290.631631,200,3600.684194
-369.129604,200,3612.991907
-155.568891,200,3625.180118
-421.414639,200,3637.449725
-163.269601,200,3651.496896
-172.368251,200,3663.933793
-169.16248,200,3676.350622
-246.653222,200,3688.68992
